RUN_ID,d_wheel,A_front,HM_VA,AWD,iAG,m_curb,Wheelbase,h_s,weight_dist,MainAxle_TorqueSplit_int,Hybrid_ICE_priority,VM,EV,Hy,i_GET_EV,i_ges_P4,mode,use_cus_val,Gear_Ratio,No_Gears,shiftDelay,P0,P2,P3,P4,P4_DM,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW,tq_P0_max,Pwr_P0_max_kW,n_P0_max,Pwr_P0_nmax_red_perc,tq_P2_max,Pwr_P2_max_kW,n_P2_max,Pwr_P2_nmax_red_perc,tq_P3_max,Pwr_P3_max_kW,n_P3_max,Pwr_P3_nmax_red_perc,tq_P4_max,Pwr_P4_max_kW,n_P4_max,Pwr_P4_nmax_red_perc,Cell_Cap_Ah,Cell_V_nom,Cell_R_inner,Cell_V_min,Cell_V_max,Cell_I_max_chg,Cell_I_max_dis,SOC_Vector,Cell_OCV_Vector,n_s,n_p,facSocInit,SOC_Recup_Limit,SOC_Bat_Discharge_Limit,Actual_0_to_100,SL_time_0_to_100,error,pct_error,pass_fail,group
109,0.62,2.47975,1,1,3.8,2675,3.105,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[5.5, 3.52, 2.2, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.05,1,0,0,0,0,750,6500,150.0,750.0,390.0,200,9,18000,0.04,0,0,0,0.0,0,0,0,0,0,0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,6.5,6.655,0.15500000000000025,2.3846153846153886,PASS,G2_5to7s
110,0.62,2.47975,1,1,3.8,2785,3.105,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[5.0, 3.2, 2.14, 1.72, 1.3, 1.0, 0.83, 0.64]",8,0.05,0,1,0,0,0,750,6500,130.0,650.0,360.0,0,0,0,0.0,280,145,10000,0.04,0,0,0,0,0,0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,6.1,5.95,-0.14999999999999947,-2.459016393442614,PASS,G2_5to7s
115,0.62,2.547,1,1,3.8,1907,2.722,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[2.9, 1.76, 1.22, 0.88, 0.65, 0.51, 0.4, 0.33]",8,0.05,1,0,0,0,0,750,6500,122.6,613.0,354.0,165,12,18000,0.04,0,0,0,0.0,0,0,0,0,0,0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,5.4,5.595,0.1949999999999994,3.6111111111110996,PASS,G2_5to7s
155,0.61,2.306395,1,1,3.8,1835,2.65,0.4,1,0.5,1,0,0,1,0,3.8,performance,1,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.05,0,0,0,0,1,750,6500,160.8,804.0,586.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,166,50,15000,0.04,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,5.3,4.735,-0.5649999999999995,-10.660377358490557,FAIL,G2_5to7s
156,0.62,2.41011,1,1,3.8,1670,2.65,0.4,1,0.5,1,0,0,1,0,3.8,performance,1,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.05,0,0,0,0,1,750,6500,160.0,800.0,574.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,166,50,15000,0.04,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,5.3,4.685,-0.6150000000000002,-11.603773584905666,FAIL,G2_5to7s
304,0.65,2.705352,0,0,4.0,1498,2.64,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[3.61, 2.47, 1.8, 1.41, 1.15, 0.96, 0.8, 0.65]",8,0.05,0,1,0,0,0,750,7000,117.0,585.0,445.0,0,0,0,0.0,225,80,10000,0.04,0,0,0,0,0,0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,6.5,4.67,-1.83,-28.153846153846157,FAIL,G2_5to7s
317,0.68,3.365151,1,1,3.8,1970,2.873,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[5.35, 3.24, 2.25, 1.64, 1.21, 1.0, 0.86, 0.72, 0.6]",9,0.05,1,0,0,0,0,750,7000,104.0,520.0,320.0,250,16,18000,0.04,0,0,0,0.0,0,0,0,0,0,0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,6.9,5.845,-1.0550000000000006,-15.289855072463777,FAIL,G2_5to7s
320,0.68,3.426288,1,1,3.8,2055,2.873,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[4.71, 2.84, 1.91, 1.38, 1.0, 0.81, 0.7, 0.58, 0.48]",9,0.05,1,0,0,0,0,750,7000,104.0,520.0,320.0,250,16,18000,0.04,0,0,0,0.0,0,0,0,0,0,0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,6.1,5.92,-0.17999999999999972,-2.9508196721311433,PASS,G2_5to7s
331,0.62,2.490384,1,1,3.8,2045,2.961,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[5.35, 3.24, 2.25, 1.64, 1.21, 1.0, 0.86, 0.72, 0.6]",9,0.05,1,0,0,0,0,750,7000,100.0,500.0,280.0,205,17,18000,0.04,0,0,0,0.0,0,0,0,0,0,0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,6.2,6.625,0.4249999999999998,6.854838709677416,PASS,G2_5to7s
336,0.62,2.490384,1,1,3.8,1975,2.888,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[4.71, 2.84, 1.91, 1.38, 1.0, 0.81, 0.7, 0.58, 0.48]",9,0.05,1,0,0,0,0,750,6500,100.0,500.0,310.0,55,10,18000,0.04,0,0,0,0.0,0,0,0,0,0,0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,5.3,5.34,0.040000000000000036,0.7547169811320762,PASS,G2_5to7s
414,0.62,2.605702,1,1,3.8,2245,2.95,0.4,1,0.5,1,0,0,1,0,3.8,performance,1,"[5.25, 3.36, 2.17, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.05,0,1,0,1,0,750,7000,90.0,450.0,243.0,0,0,0,0.0,400,100,10000,0.04,0,0,0,0,166,50,15000,0.04,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,6.6,5.815,-0.7849999999999993,-11.893939393939384,FAIL,G2_5to7s
415,0.62,2.605702,1,1,3.8,2265,2.95,0.4,1,0.5,1,0,0,1,0,3.8,performance,1,"[5.25, 3.36, 2.17, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.05,0,1,0,1,0,750,7000,90.0,450.0,243.0,0,0,0,0.0,400,100,10000,0.04,0,0,0,0,166,50,15000,0.04,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,6.4,5.825,-0.5750000000000002,-8.984375000000004,PASS,G2_5to7s
416,0.62,2.605702,1,1,3.8,1750,2.73,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[3.91, 2.29, 1.58, 1.19, 0.97, 0.83, 0.67]",7,0.05,0,1,0,0,0,750,6500,108.0,540.0,447.0,0,0,0,0.0,210,95,10000,0.04,0,0,0,0,0,0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,5.1,5.36,0.2600000000000007,5.098039215686288,PASS,G2_5to7s
